TIME	SAN ANTONIO	SCORE	DENVER
12:00	Start of the 1st Quarter
12:00	 	0-0	Jumpball: Tim Duncan vs. Timofey Mozgov (Denver gains possession)
11:30	 	0-0	Kenneth Faried misses 11-foot jumper
11:27	DeJuan Blair defensive rebound	0-0	 
11:07	Tim Duncan makes 15-foot jumper (Tony Parker assists)	2-0	 
10:55	 	2-0	Tim Duncan blocks Arron Afflalo's layup
10:53	 	2-0	Denver offensive team rebound
10:47	 	2-0	Corey Brewer traveling
10:33	 	2-0	Timofey Mozgov shooting foul (Tim Duncan draws the foul)
10:33	Tim Duncan misses free throw 1 of 2	2-0	 
10:33	San Antonio offensive team rebound	2-0	 
10:33	Tim Duncan misses free throw 2 of 2	2-0	 
10:32	San Antonio offensive team rebound	2-0	 
10:18	Richard Jefferson makes 26-foot three point jumper (Tim Duncan assists)	5-0	 
9:57	 	5-2	Andre Miller makes 16-foot jumper
9:45	Tony Parker misses 17-foot jumper	5-2	 
9:44	 	5-2	Corey Brewer defensive rebound
9:37	Tony Parker shooting foul (Andre Miller draws the foul)	5-2	 
9:37	 	5-3	Andre Miller makes free throw 1 of 2
9:37	 	5-4	Andre Miller makes free throw 2 of 2
9:25	Daniel Green lost ball (Andre Miller steals)	5-4	 
9:23	Tim Duncan personal foul (Arron Afflalo draws the foul)	5-4	 
9:03	 	5-4	Arron Afflalo misses driving layup
9:02	Daniel Green defensive rebound	5-4	 
8:56	Timofey Mozgov blocks DeJuan Blair's 5-foot two point shot	5-4	 
8:56	San Antonio offensive team rebound	5-4	 
8:51	Tim Duncan makes 18-foot jumper (DeJuan Blair assists)	7-4	 
8:23	 	7-6	Kenneth Faried makes layup (Andre Miller assists)
8:15	Daniel Green misses three point jumper	7-6	 
8:15	 	7-6	Arron Afflalo defensive rebound
8:02	 	7-6	Andre Miller bad pass (Richard Jefferson steals)
7:50	DeJuan Blair makes layup (Daniel Green assists)	9-6	 
7:37	 	9-6	Arron Afflalo misses 17-foot jumper
7:35	Tim Duncan defensive rebound	9-6	 
7:26	Tim Duncan makes 19-foot jumper (Tony Parker assists)	11-6	 
7:01	 	11-6	Arron Afflalo misses 23-foot three point jumper
7:00	Tim Duncan defensive rebound	11-6	 
6:48	Tim Duncan misses 7-foot two point shot	11-6	 
6:48	DeJuan Blair offensive rebound	11-6	 
6:45	DeJuan Blair makes layup	13-6	 
6:41	Denver full timeout
6:41	 	13-6	Chris Andersen enters the game for Timofey Mozgov
6:41	Kawhi Leonard enters the game for Richard Jefferson	13-6	 
6:22	 	13-6	Andre Miller misses 16-foot jumper
6:22	 	13-6	Andre Miller offensive rebound
6:11	 	13-6	Corey Brewer misses 26-foot three point jumper
6:11	 	13-6	Denver offensive team rebound
6:11	DeJuan Blair loose ball foul (Chris Andersen draws the foul)	13-6	 
5:54	 	13-6	Chris Andersen misses jumper
5:54	 	13-6	Denver offensive team rebound
5:54	Matt Bonner enters the game for DeJuan Blair	13-6	 
