TIME	LOS ANGELES	SCORE	OKLAHOMA CITY
12:00	Start of the 1st Quarter
12:00	Jumpball: Andrew Bynum vs. Serge Ibaka (Derek Fisher gains possession)	0-0	 
11:38	Kendrick Perkins blocks Andrew Bynum's 4-foot jumper	0-0	 
11:37	 	0-0	Kendrick Perkins defensive rebound
11:23	 	0-2	Russell Westbrook makes 16-foot jumper
11:04	Kendrick Perkins blocks Kobe Bryant's layup	0-2	 
11:02	 	0-2	Kendrick Perkins defensive rebound
10:48	 	0-2	Kevin Durant misses 24-foot three point jumper
10:47	Kobe Bryant defensive rebound	0-2	 
10:30	Andrew Bynum misses 9-foot two point shot	0-2	 
10:30	 	0-2	Serge Ibaka defensive rebound
10:19	 	0-2	Russell Westbrook misses 7-foot running jumper
10:18	 	0-2	Serge Ibaka offensive rebound
10:18	 	0-4	Serge Ibaka makes two point shot
9:59	Pau Gasol misses 17-foot jumper	0-4	 
9:57	Metta World Peace offensive rebound	0-4	 
9:55	Metta World Peace misses 25-foot three point jumper	0-4	 
9:53	 	0-4	Daequan Cook defensive rebound
9:45	 	0-4	Kevin Durant out of bounds lost ball turnover
9:33	Kobe Bryant makes 12-foot jumper (Metta World Peace assists)	2-4	 
9:14	 	2-4	Kevin Durant misses 25-foot three point jumper
9:12	Andrew Bynum defensive rebound	2-4	 
9:03	Kobe Bryant misses jumper	2-4	 
9:02	 	2-4	Serge Ibaka defensive rebound
8:55	 	2-4	Russell Westbrook misses driving layup
8:52	Kobe Bryant defensive rebound	2-4	 
8:45	Metta World Peace makes three point jumper (Kobe Bryant assists)	5-4	 
8:25	 	5-6	Kevin Durant makes driving dunk
8:07	Daequan Cook blocks Kobe Bryant's 11-foot two point shot	5-6	 
8:06	 	5-6	Serge Ibaka defensive rebound
7:58	 	5-9	Kevin Durant makes 24-foot three point jumper
7:37	Andrew Bynum makes 9-foot jumper (Metta World Peace assists)	7-9	 
7:20	 	7-11	Serge Ibaka makes 16-foot jumper (Russell Westbrook assists)
7:05	Pau Gasol makes layup (Metta World Peace assists)	9-11	 
7:05	 	9-11	Serge Ibaka defensive goaltending
6:48	 	9-11	Serge Ibaka misses 10-foot jumper
6:48	Pau Gasol defensive rebound	9-11	 
6:41	Pau Gasol bad pass (Kevin Durant steals)	9-11	 
6:39	 	9-11	Kevin Durant out of bounds lost ball turnover
6:31	 	9-11	Daequan Cook personal foul (Kobe Bryant draws the foul)
6:24	Serge Ibaka blocks Kobe Bryant's two point shot	9-11	 
6:22	 	9-11	Daequan Cook defensive rebound
6:07	 	9-11	Daequan Cook misses 23-foot three point jumper
6:07	Andrew Bynum defensive rebound	9-11	 
5:52	Pau Gasol misses 4-foot two point shot	9-11	 
5:50	 	9-11	Kendrick Perkins defensive rebound
5:45	 	9-11	Russell Westbrook misses 19-foot jumper
5:43	 	9-11	Kendrick Perkins offensive rebound
5:41	 	9-11	Andrew Bynum blocks Serge Ibaka's 3-foot two point shot
5:39	 	9-11	Daequan Cook offensive rebound
5:22	 	9-11	Kevin Durant misses 10-foot two point shot
5:20	Andrew Bynum defensive rebound	9-11	 
5:09	Pau Gasol bad pass (Daequan Cook steals)	9-11	 
4:56	 	9-11	Serge Ibaka misses 19-foot jumper
4:54	Andrew Bynum defensive rebound	9-11	 
4:37	Pau Gasol makes 19-foot jumper (Derek Fisher assists)	11-11	 
4:13	 	11-11	Russell Westbrook bad pass (Kobe Bryant steals)
4:09	Andrew Bynum makes dunk (Metta World Peace assists)	13-11	 
3:59	Oklahoma City full timeout
3:59	 	13-11	Nazr Mohammed enters the game for Serge Ibaka
3:59	 	13-11	James Harden enters the game for Daequan Cook
3:59	Troy Murphy enters the game for Metta World Peace	13-11	 
3:59	Matt Barnes enters the game for Andrew Bynum	13-11	 
3:46	 	13-11	Russell Westbrook misses 16-foot jumper
3:45	Pau Gasol defensive rebound	13-11	 
3:29	Kobe Bryant misses 17-foot two point shot	13-11	 
3:28	 	13-11	Nazr Mohammed defensive rebound
3:16	 	13-11	Nazr Mohammed bad pass
3:16	Steve Blake enters the game for Derek Fisher	13-11	 
3:03	Kobe Bryant makes two point shot (Pau Gasol assists)	15-11	 
2:47	Matt Barnes shooting foul (Kevin Durant draws the foul)	15-11	 
2:47	Los Angeles full timeout
2:47	 	15-11	Cole Aldrich enters the game for Kendrick Perkins
2:47	 	15-12	Kevin Durant makes free throw 1 of 2
2:47	 	15-13	Kevin Durant makes free throw 2 of 2
2:30	 	15-13	Cole Aldrich personal foul (Kobe Bryant draws the foul)
2:18	 	15-13	James Harden shooting foul (Kobe Bryant draws the foul)
2:18	Kobe Bryant makes free throw 1 of 2	16-13	 
2:18	Kobe Bryant makes free throw 2 of 2	17-13	 
2:02	 	17-15	Kevin Durant makes 9-foot two point shot
1:40	Troy Murphy makes 18-foot jumper (Pau Gasol assists)	19-15	 
1:28	 	19-15	James Harden misses 24-foot three point jumper
1:27	Pau Gasol defensive rebound	19-15	 
1:13	Kobe Bryant makes 14-foot jumper	21-15	 
0:49	 	21-18	Russell Westbrook makes 24-foot three point jumper (James Harden assists)
0:28	Kobe Bryant makes 22-foot jumper	23-18	 
0:10	Troy Murphy shooting foul (Russell Westbrook draws the foul)	23-18	 
0:10	 	23-19	Russell Westbrook makes free throw 1 of 2
0:10	 	23-19	Royal Ivey enters the game for Kevin Durant
0:10	 	23-19	Russell Westbrook misses free throw 2 of 2
0:09	Matt Barnes defensive rebound	23-19	 
0:00	End of the 1st Quarter
2nd Quarter Summary

12:00	Start of the 2nd Quarter
11:47	 	23-19	Reggie Jackson offensive foul (Steve Blake draws the foul)
11:47	 	23-19	Reggie Jackson turnover
11:25	Steve Blake misses two point shot	23-19	 
11:23	 	23-19	Royal Ivey defensive rebound
11:12	 	23-19	Nazr Mohammed misses 14-foot jumper
11:11	Andrew Goudelock defensive rebound	23-19	 
11:00	Steve Blake makes 16-foot jumper (Troy Murphy assists)	25-19	 
10:44	 	25-21	Reggie Jackson makes driving dunk
10:21	Troy Murphy misses jumper	25-21	 
10:18	 	25-21	Nazr Mohammed defensive rebound
10:10	 	25-23	Cole Aldrich makes layup (James Harden assists)
9:52	 	25-23	Nazr Mohammed personal foul (Andrew Bynum draws the foul)
9:41	Andrew Bynum misses 10-foot two point shot	25-23	 
9:40	 	25-23	Cole Aldrich defensive rebound
9:26	 	25-23	Andrew Bynum blocks James Harden's 6-foot two point shot
9:26	Matt Barnes defensive rebound	25-23	 
9:19	Steve Blake makes 16-foot jumper	27-23	 
9:03	 	27-23	Reggie Jackson misses 15-foot jumper
9:03	Andrew Bynum defensive rebound	27-23	 
8:49	Andrew Goudelock misses 24-foot three point jumper	27-23	 
8:48	Andrew Bynum offensive rebound	27-23	 
8:47	 	27-23	Nazr Mohammed personal foul (Andrew Bynum draws the foul)
8:47	 	27-23	Kevin Durant enters the game for Cole Aldrich
8:47	Pau Gasol enters the game for Troy Murphy	27-23	 
8:41	Andrew Goudelock misses 22-foot jumper	27-23	 
8:40	 	27-23	James Harden defensive rebound
8:25	 	27-23	Kevin Durant misses 25-foot three point jumper
8:25	Steve Blake defensive rebound	27-23	 
8:15	Andrew Bynum bad pass (Kevin Durant steals)	27-23	 
8:10	 	27-25	Reggie Jackson makes driving layup
7:48	 	27-25	Kevin Durant shooting foul (Pau Gasol draws the foul)
7:48	Pau Gasol makes free throw 1 of 2	28-25	 
7:48	Pau Gasol makes free throw 2 of 2	29-25	 
7:35	 	29-25	James Harden bad pass (Matt Barnes steals)
7:28	Andrew Goudelock misses 24-foot three point jumper	29-25	 
7:26	 	29-25	James Harden defensive rebound
7:22	 	29-27	James Harden makes layup
7:22	Andrew Goudelock shooting foul (James Harden draws the foul)	29-27	 
7:22	Kobe Bryant enters the game for Andrew Goudelock	29-27	 
7:22	 	29-27	Russell Westbrook enters the game for Reggie Jackson
7:22	 	29-28	James Harden makes free throw 1 of 1
7:09	Pau Gasol makes layup (Matt Barnes assists)	31-28	 
6:48	 	31-30	Kevin Durant makes driving layup
6:24	Pau Gasol makes 11-foot jumper	33-30	 
6:01	Kobe Bryant shooting foul (Kevin Durant draws the foul)	33-30	 
6:01	 	33-31	Kevin Durant makes free throw 1 of 2
6:01	 	33-31	Serge Ibaka enters the game for Royal Ivey
6:01	 	33-31	Kendrick Perkins enters the game for Nazr Mohammed
6:01	Metta World Peace enters the game for Matt Barnes	33-31	 
6:01	 	33-32	Kevin Durant makes free throw 2 of 2
5:39	James Harden blocks Kobe Bryant's 24-foot three point jumper	33-32	 
5:37	 	33-32	Kevin Durant defensive rebound
5:35	 	33-34	James Harden makes dunk (Kevin Durant assists)
5:33	Los Angeles full timeout
5:33	Troy Murphy enters the game for Pau Gasol	33-34	 
5:33	Derek Fisher enters the game for Steve Blake	33-34	 
5:18	Kobe Bryant misses 16-foot jumper	33-34	 
5:18	 	33-34	Serge Ibaka defensive rebound
5:18	Metta World Peace personal foul (Serge Ibaka draws the foul)	33-34	 
5:09	 	33-34	Russell Westbrook out of bounds lost ball turnover
4:56	Derek Fisher misses 20-foot jumper	33-34	 
4:54	 	33-34	James Harden defensive rebound
4:39	 	33-34	Kendrick Perkins misses 11-foot jumper
4:39	Kobe Bryant defensive rebound	33-34	 
4:18	Andrew Bynum misses 8-foot two point shot	33-34	 
4:18	 	33-34	Serge Ibaka defensive rebound
4:09	 	33-34	Russell Westbrook misses 25-foot three point jumper
4:09	Troy Murphy defensive rebound	33-34	 
3:47	Kobe Bryant misses 23-foot two point shot	33-34	 
3:47	 	33-34	Russell Westbrook defensive rebound
3:42	 	33-36	Kevin Durant makes dunk (James Harden assists)
3:17	 	33-36	Kendrick Perkins shooting foul (Andrew Bynum draws the foul)
3:17	Andrew Bynum makes free throw 1 of 2	34-36	 
3:17	Pau Gasol enters the game for Troy Murphy	34-36	 
3:17	Andrew Bynum makes free throw 2 of 2	35-36	 
2:58	 	35-39	Kevin Durant makes 24-foot three point jumper
2:44	Derek Fisher misses layup	35-39	 
2:43	Pau Gasol offensive rebound	35-39	 
2:43	 	35-39	Serge Ibaka shooting foul (Pau Gasol draws the foul)
2:43	Oklahoma City full timeout
2:43	Pau Gasol misses free throw 1 of 2	35-39	 
2:43	Los Angeles offensive team rebound	35-39	 
2:43	Pau Gasol makes free throw 2 of 2	36-39	 
2:28	 	36-39	Kevin Durant misses jumper
2:25	Kobe Bryant defensive rebound	36-39	 
2:11	Kobe Bryant misses driving layup	36-39	 
2:10	 	36-39	Kendrick Perkins defensive rebound
2:03	 	36-39	James Harden bad pass (Metta World Peace steals)
1:58	Andrew Bynum bad pass	36-39	 
1:46	Pau Gasol shooting foul (Russell Westbrook draws the foul)	36-39	 
1:46	 	36-40	Russell Westbrook makes free throw 1 of 2
1:46	 	36-40	Russell Westbrook misses free throw 2 of 2
1:45	Andrew Bynum defensive rebound	36-40	 
1:22	Metta World Peace makes 24-foot three point jumper	39-40	 
0:59	 	39-40	Russell Westbrook lost ball (Metta World Peace steals)
0:53	Derek Fisher makes 5-foot two point shot	41-40	 
0:37	Kobe Bryant shooting foul (Serge Ibaka draws the foul)	41-40	 
0:37	 	41-41	Serge Ibaka makes free throw 1 of 2
0:37	 	41-41	Serge Ibaka misses free throw 2 of 2
0:37	Andrew Bynum defensive rebound	41-41	 
0:21	Serge Ibaka blocks Derek Fisher's jumper	41-41	 
0:18	Kobe Bryant offensive rebound	41-41	 
0:17	Pau Gasol makes dunk (Kobe Bryant assists)	43-41	 
0:00	 	43-44	Russell Westbrook makes 24-foot three point jumper
0:00	Andrew Bynum bad pass (Kevin Durant steals)	43-44	 
0:00	 	43-46	Kevin Durant makes 15-foot jumper
0:00	End of the 2nd Quarter
3rd Quarter Summary

12:00	Start of the 3rd Quarter
11:45	 	43-48	Russell Westbrook makes 21-foot jumper (Kendrick Perkins assists)
11:22	Pau Gasol makes 11-foot two point shot	45-48	 
11:07	Kobe Bryant personal foul (Kendrick Perkins draws the foul)	45-48	 
11:00	 	45-48	Daequan Cook misses 25-foot three point jumper
10:59	Pau Gasol defensive rebound	45-48	 
10:48	 	45-48	Daequan Cook shooting foul (Kobe Bryant draws the foul)
10:48	Kobe Bryant makes free throw 1 of 2	46-48	 
10:48	Kobe Bryant makes free throw 2 of 2	47-48	 
10:34	 	47-48	Daequan Cook misses 27-foot three point jumper
10:33	Metta World Peace defensive rebound	47-48	 
10:18	Pau Gasol misses 24-foot three pointer	47-48	 
10:18	 	47-48	Russell Westbrook defensive rebound
10:11	 	47-51	Daequan Cook makes 24-foot three point jumper (Russell Westbrook assists)
9:57	Metta World Peace makes 23-foot three point jumper (Derek Fisher assists)	50-51	 
9:37	 	50-53	Serge Ibaka makes jumper (Kevin Durant assists)
9:25	Derek Fisher bad pass (Russell Westbrook steals)	50-53	 
9:19	 	50-53	Russell Westbrook misses two point shot
9:17	 	50-53	Oklahoma City defensive team rebound
8:55	Andrew Bynum misses driving layup	50-53	 
8:53	 	50-53	Russell Westbrook defensive rebound
8:48	 	50-53	Kevin Durant misses 24-foot three point jumper
8:47	Andrew Bynum defensive rebound	50-53	 
8:22	Pau Gasol misses 9-foot two point shot	50-53	 
8:21	 	50-53	Serge Ibaka defensive rebound
8:11	 	50-53	Serge Ibaka misses jumper
8:08	Andrew Bynum defensive rebound	50-53	 
7:47	Metta World Peace misses 22-foot three point jumper	50-53	 
7:46	Los Angeles offensive team rebound	50-53	 
7:45	Kobe Bryant misses 13-foot jumper	50-53	 
7:45	Los Angeles offensive team rebound	50-53	 
7:45	shot clock turnover	50-53	 
7:33	 	50-55	Kevin Durant makes jumper (Russell Westbrook assists)
7:33	Metta World Peace shooting foul (Kevin Durant draws the foul)	50-55	 
7:33	 	50-56	Kevin Durant makes free throw 1 of 1
7:20	Derek Fisher misses 18-foot jumper	50-56	 
