Elliot  Williams,Sebastian  Telfair,Luke  Ridnour,Nikola  Pekovic,Nolan  Smith,Ryan Reid,Sundiata  Gaines,Marcus  Morris,Juwan  Howard,Marcus Hubbard,Troy  Murphy,Emeka  Okafor,Gerald  Wallace,Jameer  Nelson,Bonzi Wells,Chris  Kaman,Josh  McRoberts,Andrea  Bargnani,Alonzo  Gee,Chauncey  Billups,DeAndre  Liggins,Kyrie  Irving,Anderson  Varejao,Ryan  Anderson,Andre  Miller,Durrell Summers,Brandon  Rush,Enes  Kanter,Pau  Gasol,Brian  Cook,Francisco  Garcia,Jeff  Teague,Jerome Randle,Tim  Duncan,Dahntay  Jones,Deron  Williams,Shaun  Livingston,Matt  Carroll,Mike  Dunleavy,Greg  Stiemsma,Brian  Cardinal,Dexter  Pittman,Nick  Young,Tyrus  Thomas,Amir  Johnson,Terrence  Williams,Spencer  Hawes,Delonte  West,Tony  Allen,Keith  Benson,Roy  Hibbert,Zach  Randolph,Frank Hassell,Dwyane  Wade,DeMar  DeRozan,Tyreke  Evans,Carlos  Boozer,Austin  Daye,DeAndre  Jordan,Andrew  Goudelock,Darren  Collison,Ryan  Hollins,Hakim  Warrick,Kevin  Martin,Kwame  Brown,Cory  Joseph,Rodney  Stuckey,Jermaine  O'Neal,Lance  Thomas,Luol  Deng,Darington Hobson,Keyon Dooling,Damion  James,Quentin  Richardson,Dorell  Wright,Udonis  Haslem,E'Twaun  Moore,Jrue  Holiday,Terrel  Harris,Chris  Duhon,Jonas  Jerebko,George  Hill,Rudy Fernandez,Gerald  Henderson,Devin Green,Greg  Monroe,Joe  Johnson,Danny  Green,Chris  Singleton,Walter Sharpe,Jeremy  Tyler,Channing  Frye,Tim Pickett,JaJuan  Johnson,Marreese  Speights,Anthony  Morrow,Zaza  Pachulia,David  Lee,James  Anderson,Kawhi  Leonard,Josh  Harrellson,Reggie  Jackson,Charlie  Villanueva,Brad Wanamaker,Rudy  Gay,DeSagana  Diop,Jonny  Flynn,Ray  Allen,Klay  Thompson,Greg  Smith,Justin  Harper,Chris  Johnson,Goran  Dragic,Anthony  Tolliver,Brandon  Bass,Omer  Asik,Ivan  Johnson,Christian  Eyenga,Andray  Blatche,Jan  Vesely,Devin  Ebanks,Marquis  Daniels,Brandon  Knight,Jerome  Dyson,Kemba  Walker,D.J.  Augustin,Justin Dentmon,Ronnie  Price,Joakim  Noah,JamesOn Curry,Stephen  Jackson,Marcus  Thornton,Jimmer  Fredette,Toney  Douglas,Richard  Jefferson,Jason  Kidd,Jason  Smith,Leandro  Barbosa,Edwin Ubiles,Luc Richard  Mbah a Moute,Samardo  Samuels,Ime  Udoka,Tobias  Harris,Julian Khazzouh,Metta  World Peace,Jon  Leuer,Earl  Clark,Stephen  Curry,Serge  Ibaka,Tyler  Honeycutt,Mike  Conley Jr.,Jerryd  Bayless,Vernon Macklin,Dominic  McGuire,Jeremy  Lin,Tyson  Chandler,Landry  Fields,Ronny  Turiaf,Jordan Farmar,Shelden  Williams,Will  Bynum,A.J.  Price,Dwight  Howard,Ben Wallace,Rajon  Rondo,Lazar  Hayward,Josh Davis,Monta  Ellis,Rasual Butler,Omri  Casspi,Kenneth  Faried,Mo  Williams,Derrick  Byars,Andre  Iguodala,Manu  Ginobili,J.J.  Redick,Norris  Cole,Jordan  Hill,Magnum Rolle,Chris  Wilcox,Chris  Wright,Trevor  Booker,Russell  Westbrook,Gilbert Brown,Jerry Smith,Lamar  Odom,Jeremy  Pargo,Carldell  Johnson,Derrick  Williams,Roger  Mason Jr.,Tristan  Thompson,Cole  Aldrich,Corey  Brewer,Amar'e  Stoudemire,Michael Sweetney,Sasha  Pavlovic,Josh  Smith,Louis  Williams,Kyle  Lowry,Carlos  Delfino,Chandler  Parsons,Moses Ehambe,Solomon  Alabi,Drew  Gooden,Carmelo  Anthony,Jared  Jeffries,Ersan  Ilyasova,Alec  Burks,Jodie  Meeks,Eric  Gordon,Derrick  Brown,Gerald  Green,Dennis  Horner,Anthony  Randolph,Rashard  Lewis,Kurt  Thomas,Dirk  Nowitzki,Wesley  Johnson,Luke  Babbitt,Al  Jefferson,Nicolas  Batum,Ryan  Gomes,Shannon  Brown,Kevin  Seraphin,Donald  Sloan,Tracy McGrady,Armon  Johnson,Jeremy Wise,Andrew  Bogut,Devin  Harris,Tony  Parker,Luis  Scola,John  Wall,Al  Harrington,Anthony  Parker,Blake  Griffin,Jason  Thompson,Elton  Brand,Kobe  Bryant,Richard  Hamilton,Jason  Terry,Nick  Collison,JaVale  McGee,Sam  Young,Derek Fisher,D.J. White,Donte  Greene,Jordan  Hamilton,Mychel  Thompson,Kris  Humphries,Shelvin  Mack,Taj  Gibson,Taylor Griffin,J.J.  Hickson,Marvin  Williams,Hassan Whiteside,Mario  Chalmers,Derrick  Favors,Wayne  Ellington,Tyler  Hansbrough,Mike Bibby,Jon  Brockman,Kosta  Koufos,Isaiah  Thomas,Malcolm  Lee,Glen  Davis,Drew Neitzel,Damien  Wilkins,Al  Horford,Jose Juan  Barea,Cory  Higgins,Joel  Anthony,Josh  Selby,LaMarcus  Aldridge,Ramon  Sessions,Brandan  Wright,James  Johnson,Robin  Lopez,Pape Sy,Danilo  Gallinari,Renaldo Balkman,Gordon  Hayward,Raja  Bell,Ian  Mahinmi,Hasheem  Thabeet,Ekpe  Udoh,Brendan  Haywood,Chris  Paul,Matt  Bonner,Andris  Biedrins,Julyan  Stone,T.J. Ford,Nen   ,Gani Lawal,Beno  Udrih,Tommy Mitchell,Jeremy  Evans,Matt  Barnes,Ishmael  Smith,Danny  Granger,Jared  Dudley,Michael  Beasley,Jamaal  Tinsley,Paul  George,Josh  Howard,Rodrigue  Beaubois,Tiago  Splitter,Avery  Bradley,Raymond  Felton,Vladimir  Radmanovic,Darius  Morris,Lance  Stephenson,Jeff  Adrien,Xavier  Silas,Antawn  Jamison,Jordan  Crawford,Terrico White,Ben  Uzoh,O.J.  Mayo,Daniel  Gibson,Josh  Childress,C.J.  Miles,Royal  Ivey,Timofey  Mozgov,Ben  Gordon,Dominique  Jones,Brandon  Jennings,Brian Hamilton,Hedo  Turkoglu,Travis  Outlaw,Jose  Calderon,Tayshaun  Prince,Ronnie  Brewer,Daequan  Cook,Kevin  Durant,Luke  Zeller,Nikola  Vucevic,Charles  Jenkins,Doug Thomas,Derrick  Rose,Larry Owens,Stephen Graham,Luke  Harangody,Eric  Maynor,DeJuan  Blair,Brian Skinner,Ed  Davis,James  Harden,Markieff  Morris,DeMarcus  Cousins,Wesley  Matthews,Von Wafer,Johan  Petro,Gary  Forbes,Caron  Butler,Brook  Lopez,Thaddeus  Young,Shawn  Marion,Antoine Hood,Marcus  Camby,Steve  Blake,Jason  Maxiell,Iman  Shumpert,Al-Farouq  Aminu,Trevor  Ariza,David Andersen,Daniel  Orton,Marcus Landry,Jamaal  Magloire,C.J.  Watson,Gary Flowers,DeMarre  Carroll,Mehmet Okur,Thabo  Sefolosha,Aaron  Gray,Vince  Carter,Nazr  Mohammed,Jason Kapono,Greivis  Vasquez,Jason  Richardson,Mickell  Gladness,Marco  Belinelli,Kyle  Korver,Steve  Nash,Quincy  Pondexter,Craig  Smith,Craig Brackins,Jarrett  Jack,Jerry  Stackhouse,Chase  Budinger,Trey Johnson,Steve  Novak,James  Jones,Kendrick  Perkins,Tommy Smith,LeBron  James,Chris  Bosh,Darko  Milicic,Jeff  Foster,Earl  Watson,Randy  Foye,Carl  Landry,Kevin  Love,Boris  Diaw,Jarrid  Famous,Chris Andersen,Marcin  Gortat,Jamal  Crawford,Andrew  Bynum,Earl Boykins,Darnell Lazare,Courtney  Lee,MarShon  Brooks,Kevin  Garnett,Jimmy  Butler,Larry Hughes,Ricky  Rubio,Evan  Turner,Ty  Lawson,Trey  Thompkins,David  West
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
